"Class","Class","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022"
"Class","Class","","","","","","","","","","","","","","","","","","","",""
"Flagship","Flagship","","","","","","","","","","","","","","","","Z 9 Q 8K AT S","Z 9 Q 8K AT S","Z 9 Q 8K AT S","Z 9 Q 8K AT S","Z 9 Q 8K AT S"
"Advanced","Advanced","","","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7 Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S","Z 7Ⅱ Q 4K AT S"
"High-end","High-end","","","","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6 Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S","Z 6Ⅱ Q 4K AT S"
"High-end","High-end","","","","","","","","","","","","","","","Z fc Q 4K AT","Z fc Q 4K AT","Z fc Q 4K AT","Z fc Q 4K AT","Z fc Q 4K AT","Z fc Q 4K AT"
"Mid-range","Mid-range","","","","","","","","","","","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S","Z 5 4K AT S"
"Mid-range","Mid-range","","","","","","","","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT","Z 50 Q 4K AT"
"Class","Class","","","","","","","","","","","","","","","","","","","",""
"Class","Class","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022"
